doc_id,doc_type,doc_number,doc_year,doc_name,doc_summary,article_number,chunck_id,text_original,text_book,text_title,text_chapter,text_section,tags_array,tags
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,1,decreto_12686_2025_art_1,"Artigo 1. Fica instituída a Política Nacional de Educação Especial Inclusiva, com a finalidade de garantir o direito à educação em um sistema educacional inclusivo para estudantes com deficiência, com transtorno do espectro autista e com altas habilidades ou superdotação, sem discriminação e com base na igualdade de oportunidades. § 1º A modalidade da educação especial será oferecida de maneira transversal a todos os níveis, etapas e modalidades, com vistas a assegurar recursos e serviços educacionais para apoiar, complementar e suplementar o processo de escolarização. § 2º O estudante com transtorno do espectro autista é considerado pessoa com deficiência para fins da Política Nacional de Educação Especial Inclusiva. § 3º A garantia do sistema educacional inclusivo ocorre por meio da organização do sistema educacional geral, de forma a assegurar que os estudantes que são público da educação especial tenham o direito a ser incluídos em classes e escolas comuns, com o apoio necessário à sua participação, permanência e aprendizagem.",,,Capítulo I - Da política nacional de educação especial inclusiva,,"[""PNEEI"", ""sistema educacional inclusivo"", ""público-alvo"", ""direito à educação"", ""deficiência TEA altas habilidades""]","PNEEI, sistema educacional inclusivo, público-alvo, direito à educação, deficiência TEA altas habilidades"
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,2,decreto_12686_2025_art_2,"Artigo 2. São princípios da Política Nacional de Educação Especial Inclusiva: I - o reconhecimento da educação como direito universal, público e subjetivo de todos os cidadãos; II - a garantia de igualdade de oportunidades e condições para o acesso, a permanência, a participação e a aprendizagem dos estudantes que são o público da educação especial; III - a promoção da equidade; IV - a diversidade humana como valor a ser reconhecido e promovido pela educação; V - o combate, no contexto educacional, ao capacitismo e à discriminação em todas as suas formas; VI - a garantia de acessibilidade e o incentivo ao desenvolvimento de tecnologias que assegurem o direito à educação ao público da educação especial; VII - a consolidação do trabalho intersetorial como estratégia para a atenção integral ao público da educação especial e; VIII - o respeito pela diversidade de estudantes com deficiência e suas especificidades no âmbito da educação.",,,Capítulo I - Da política nacional de educação especial inclusiva,,"[""PNEEI"", ""princípios"", ""igualdade de oportunidades"", ""combate ao capacitismo"", ""acessibilidade""]","PNEEI, princípios, igualdade de oportunidades, combate ao capacitismo, acessibilidade"
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,3,decreto_12686_2025_art_3,"Artigo 3. São diretrizes da Política Nacional de Educação Especial Inclusiva: I - garantia de um sistema educacional inclusivo em todos os níveis, etapas e modalidades, sem discriminação e com base na igualdade de oportunidades; II - reconhecimento do direito à educação e à aprendizagem ao longo da vida; III - colaboração entre os entes federativos; IV - transversalidade da educação especial desde a educação infantil até o ensino superior; V - oferta de tecnologias assistivas e adaptações razoáveis, de acordo com as necessidades individuais, em interação com os contextos educacionais; VI - adoção de medidas de apoio individualizadas e efetivas, em ambientes educacionais que maximizem o desenvolvimento acadêmico e social; VII - oferta de Atendimento Educacional Especializado – AEE, preferencialmente nas escolas comuns da rede regular dos sistemas de ensino; VIII - articulação intersetorial na implementação das políticas públicas; IX - oferta de educação especial preferencialmente na rede regular de ensino; e X - apoio técnico e financeiro pelo Poder Público às instituições privadas sem fins lucrativos, especializadas e com atuação exclusiva em educação especial.",,,Capítulo I - Da política nacional de educação especial inclusiva,,"[""PNEEI"", ""diretrizes"", ""transversalidade"", ""AEE"", ""tecnologia assistiva""]","PNEEI, diretrizes, transversalidade, AEE, tecnologia assistiva"
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,4,decreto_12686_2025_art_4,"Artigo 4. São objetivos da Política Nacional de Educação Especial Inclusiva: I - assegurar: a) a existência de redes educacionais inclusivas em todos os níveis, etapas e modalidades dos sistemas de ensino; b) a educação e a aprendizagem ao longo da vida, até os níveis e as etapas de ensino mais elevados; c) o acesso, a participação, a permanência e a aprendizagem dos estudantes que são o público da educação especial nos estabelecimentos de ensino, em classes comuns; d) o AEE em todos os níveis, etapas e modalidades de ensino; e e) as adaptações razoáveis, nos diferentes níveis, etapas e modalidades educacionais, consideradas suas políticas curriculares, avaliativas e de planejamento; II - universalizar a matrícula na educação básica para o público da educação especial, dos quatro aos dezessete anos de idade, em classes comuns da rede regular de ensino; II - garantir a educação básica para o público da educação especial, de zero a dezessete anos de idade, asseguradas as adaptações razoáveis de acordo com as necessidades individuais; III - reduzir: a) a distorção idade-série relativa ao público da modalidade educação especial; e b) a desigualdade de acesso e melhorar as condições de permanência do público da educação especial na educação superior; IV - implementar programas e ações educacionais para apoiar ou complementar a formação dos estudantes com deficiência e estudantes autistas e suplementar a formação de estudantes com altas habilidades ou superdotação nos diferentes níveis, etapas e modalidades educacionais; V - fomentar: a) as medidas de combate à discriminação e ao capacitismo no âmbito educacional; b) o protagonismo e a participação dos estudantes que são o público da educação especial na formulação, inclusive por meio de movimento de autodefensores, na implementação, no monitoramento e na avaliação das ações da Política Nacional de Educação Especial Inclusiva; e c) a participação da comunidade, da família e dos estudantes nas discussões relativas ao aperfeiçoamento da oferta da educação especial inclusiva; VI - identificar e eliminar as barreiras que restrinjam ou impeçam o acesso, a permanência, a aprendizagem e a participação na educação superior e na educação profissional e tecnológica; e VII - promover e incentivar a formação continuada dos profissionais da educação para a educação especial inclusiva. § 1º A Base Nacional Comum Curricular e as diretrizes curriculares nacionais de todas as etapas e modalidades da educação básica aplicam-se aos estudantes que são o público da educação especial. § 2º Aplicam-se aos estudantes que são o público da educação especial as diretrizes curriculares para a educação profissional e tecnológica e as dos cursos de nível superior.",,,Capítulo I - Da política nacional de educação especial inclusiva,,"[""PNEEI"", ""objetivos"", ""adaptações razoáveis"", ""identificação precoce"", ""sistema educacional inclusivo""]","PNEEI, objetivos, adaptações razoáveis, identificação precoce, sistema educacional inclusivo"
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,4-A,decreto_12686_2025_art_4a,"Artigo 4-A. Os Estados, o Distrito Federal e os Municípios organizarão a modalidade da educação especial em seus sistemas de ensino, que poderá ser realizada por meio de parcerias e convênios com as instituições privadas sem fins lucrativos, especializadas e com atuação exclusiva em educação especial, nos termos do disposto no art. 58 da Lei nº 9.394, de 20 de dezembro de 1996.",,,Capítulo I - Da política nacional de educação especial inclusiva,,"[""organização sistemas de ensino"", ""parceria"", ""instituições privadas sem fins lucrativos"", ""entes federativos""]","organização sistemas de ensino, parceria, instituições privadas sem fins lucrativos, entes federativos"
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,5,decreto_12686_2025_art_5,"Artigo 5. O Atendimento Educacional Especializado – AEE é atividade pedagógica de caráter complementar à escolarização de pessoas com deficiência e transtorno do espectro autista, e suplementar à escolarização de pessoas com altas habilidades ou superdotação, de acordo com o disposto nos art. 27 e art. 28 da Lei nº 13.146, de 6 de julho de 2015.",,,Capítulo II - Da organização e da oferta do atendimento educacional especializado,Seção I - Do Atendimento Educacional Especializado,"[""AEE"", ""complementar"", ""suplementar"", ""deficiência TEA"", ""altas habilidades""]","AEE, complementar, suplementar, deficiência TEA, altas habilidades"
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,6,decreto_12686_2025_art_6,"Artigo 6. São objetivos do AEE: I - qualificar as condições de acesso, permanência, participação e aprendizagem dos estudantes que são o público da educação especial; II - identificar estudantes que são o público da educação especial, por meio de estudo de caso; III - desenvolver e organizar recursos pedagógicos e de acessibilidade que assegurem acesso, permanência, aprendizagem e participação dos estudantes em todas as atividades educacionais; IV - contribuir para o desenvolvimento de recursos didáticos e estratégias pedagógicas; V - sistematizar e articular o trabalho dos diferentes profissionais da educação envolvidos com o atendimento aos estudantes que são o público da educação especial; VI - promover condições para a continuidade de estudos dos estudantes que são o público da educação especial até os níveis e as etapas de ensino mais elevados; e VII - fomentar e integrar as ações intersetoriais, notadamente entre as áreas que compõem a rede de proteção social.",,,Capítulo II - Da organização e da oferta do atendimento educacional especializado,Seção I - Do Atendimento Educacional Especializado,"[""AEE"", ""objetivos"", ""identificação do público"", ""recursos educacionais"", ""SRM""]","AEE, objetivos, identificação do público, recursos educacionais, SRM"
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,7,decreto_12686_2025_art_7,"Artigo 7. A garantia do AEE, integrado ao projeto político-pedagógico do estabelecimento de ensino, e com a participação da família e do estudante, será regulamentada por ato do Ministro de Estado da Educação.",,,Capítulo II - Da organização e da oferta do atendimento educacional especializado,Seção I - Do Atendimento Educacional Especializado,"[""AEE"", ""projeto político-pedagógico"", ""regulamentação MEC"", ""família""]","AEE, projeto político-pedagógico, regulamentação MEC, família"
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,8,decreto_12686_2025_art_8,Artigo 8. A matrícula no AEE não poderá ser substitutiva à matrícula e à frequência na classe comum.,,,Capítulo II - Da organização e da oferta do atendimento educacional especializado,Seção I - Do Atendimento Educacional Especializado,"[""AEE"", ""matrícula"", ""classe comum"", ""não substitutivo""]","AEE, matrícula, classe comum, não substitutivo"
D12686,Decreto,12686,2025,"Decreto nº 12.686, de 20 de outubro de 2025",Institui a Política Nacional de Educação Especial Inclusiva e a Rede Nacional de Educação Especial Inclusiva.,9,decreto_12686_2025_art_9,"Artigo 9. O AEE na educação básica poderá, excepcionalmente, ser realizado em Centro de Atendimento Educacional Especializado da rede pública de ensino ou de instituições sem fins lucrativos, conveniadas com a Secretaria de Educação ou com órgão equivalente dos Estados, do Distrito Federal ou dos Municípios. Parágrafo único. Os Centros de Atendimento Educacional Especializado privados, sem fins lucrativos, conveniados, deverão atender aos requisitos estabelecidos pelo Conselho de Educação do respectivo sistema de ensino, para seu credenciamento, sua autorização de funcionamento e sua organização de AEE para a educação básica.",,,Capítulo II - Da organização e da oferta do atendimento educacional especializado,Seção I - Do Atendimento Educacional Especializado,"[""AEE"", ""Centro de AEE"", ""educação básica"", ""instituições conveniadas"", ""excepcionalmente""]","AEE, Centro de AEE, educação básica, instituições conveniadas, excepcionalmente"
